name,url
会议活动执行,/c101020100-p170403/
会展活动销售,/c101020100-p170404/
会展活动策划,/c101020100-p170405/
会展活动执行,/c101020100-p170406/
广告创意,/c101020100-p170201/
美术指导,/c101020100-p170202/
广告设计师,/c101020100-p170203/
策划经理,/c101020100-p170204/
文案,/c101020100-p170205/
广告制作,/c101020100-p170207/
媒介投放,/c101020100-p170208/
媒介合作,/c101020100-p170209/
媒介顾问,/c101020100-p170210/
广告审核,/c101020100-p170211/
助理,/c101020100-p170617/
统筹制片人,/c101020100-p170618/
执行制片人,/c101020100-p170619/
导演/编导,/c101020100-p170601/
摄影/影像师,/c101020100-p170602/
视频编辑,/c101020100-p170603/
音频编辑,/c101020100-p170604/
经纪人,/c101020100-p170605/
后期制作,/c101020100-p170606/
影视制作,/c101020100-p170607/
影视发行,/c101020100-p170608/
影视策划,/c101020100-p170609/
主持人/主播/DJ,/c101020100-p170610/
演员/配音/模特,/c101020100-p170611/
化妆/造型/服装,/c101020100-p170612/
放映管理,/c101020100-p170613/
录音/音效,/c101020100-p170614/
制片人,/c101020100-p170615/
编剧,/c101020100-p170616/
其他传媒职位,/c101020100-p170501/
投资经理,/c101020100-p180101/
行业研究,/c101020100-p180103/
资产管理,/c101020100-p180104/
投资总监,/c101020100-p180112/
投资VP,/c101020100-p180113/
投资合伙人,/c101020100-p180114/
融资,/c101020100-p180115/
并购,/c101020100-p180116/
投后管理,/c101020100-p180117/
投资助理,/c101020100-p180118/
其他投融资职位,/c101020100-p180111/
投资顾问,/c101020100-p180119/
风控,/c101020100-p180201/
律师,/c101020100-p180202/
资信评估,/c101020100-p180203/
合规稽查,/c101020100-p180204/
审计,/c101020100-p180301/
法务,/c101020100-p180302/
会计,/c101020100-p180303/
清算,/c101020100-p180304/
信用卡销售,/c101020100-p180401/
分析师,/c101020100-p180102/
柜员,/c101020100-p180402/
商务渠道,/c101020100-p180403/
大堂经理,/c101020100-p180404/
理财顾问,/c101020100-p180105/
客户经理,/c101020100-p180405/
信贷管理,/c101020100-p180406/
风控,/c101020100-p180107/
金融产品经理,/c101020100-p180501/
风控,/c101020100-p180502/
催收员,/c101020100-p180503/
分析师,/c101020100-p180504/
投资经理,/c101020100-p180505/
交易员,/c101020100-p180106/
理财顾问,/c101020100-p180506/
合规稽查,/c101020100-p180108/
审计,/c101020100-p180109/
清算,/c101020100-p180110/
保险业务,/c101020100-p180701/
精算师,/c101020100-p180702/
保险理赔,/c101020100-p180703/
其他金融职位,/c101020100-p180601/
证券经纪人,/c101020100-p180801/
证券分析师,/c101020100-p180802/
汽车设计,/c101020100-p230101/
车身设计,/c101020100-p230102/
底盘设计,/c101020100-p230103/
机械设计,/c101020100-p230104/
动力系统设计,/c101020100-p230105/
电子工程设计,/c101020100-p230106/
零部件设计,/c101020100-p230107/
汽车工程项目管理,/c101020100-p230108/
内外饰设计工程师,/c101020100-p230110/
质量工程师,/c101020100-p230109/
汽车销售,/c101020100-p230201/
汽车配件销售,/c101020100-p230202/
